id,split,source,cve_id,cwe,attck_tags,perturbation_strategy,difficulty,path_hops,num_nodes,num_edges,data_license
AVP-R-0001,train,lmdg-synthetic,CVE-2022-40140,CWE-287,T1021.004;T1078.001,Role Confusion,1,7,8,7,CC-BY-4.0
AVP-R-0002,train,mitre-engenuity,CVE-2023-50141,CWE-307,T1047;T1569.002,Tool Injection,2,6,7,6,CC-BY-4.0
AVP-R-0003,train,lmdg-synthetic,CVE-2022-59046,CWE-640,T1087;T1557.001,NTLM Relay,4,10,11,10,CC-BY-4.0
AVP-R-0004,train,mitre-engenuity,CVE-2023-10685,CWE-384,T1078.001,Role Confusion,2,5,6,5,CC-BY-4.0
AVP-R-0005,train,lanl,CVE-2021-54799,CWE-620,T1078,Noisy Decoy,3,9,10,9,CC-BY-4.0
AVP-R-0006,train,mitre-engenuity,CVE-2022-13836,CWE-640,T1078.001,Role Confusion,3,8,9,8,CC-BY-4.0
AVP-R-0007,train,mitre-engenuity,CVE-2023-54251,CWE-307,T1029,Slow Exfiltration,2,6,7,6,CC-BY-4.0
AVP-R-0008,train,lanl,CVE-2021-11233,CWE-200,T1078.001,Role Confusion,1,7,8,7,CC-BY-4.0
AVP-R-0009,train,lanl,CVE-2021-45757,CWE-306,T1557.001,NTLM Relay,4,8,9,8,CC-BY-4.0
AVP-R-0010,train,lanl,CVE-2023-33290,CWE-287,T1047;T1569.002,Tool Injection,1,6,7,6,CC-BY-4.0
AVP-R-0011,train,lmdg-synthetic,CVE-2023-41510,CWE-287,T1049;T1557.001,NTLM Relay,4,7,8,7,CC-BY-4.0
AVP-R-0012,train,lmdg-synthetic,CVE-2021-33427,CWE-306,T1018;T1078.001,Role Confusion,2,8,9,8,CC-BY-4.0
AVP-R-0013,train,lanl,CVE-2023-57128,CWE-521,T1029,Slow Exfiltration,2,10,11,10,CC-BY-4.0
AVP-R-0014,train,mitre-engenuity,CVE-2023-11096,CWE-640,T1029,Slow Exfiltration,1,10,11,10,CC-BY-4.0
AVP-R-0015,train,lmdg-synthetic,CVE-2022-13014,CWE-798,T1078;T1087,Noisy Decoy,3,8,9,8,CC-BY-4.0
AVP-R-0016,train,lanl,CVE-2021-49867,CWE-306,T1047;T1569.002,Tool Injection,2,8,9,8,CC-BY-4.0
AVP-R-0017,train,mitre-engenuity,CVE-2021-43291,CWE-307,T1078.001,Role Confusion,1,10,11,10,CC-BY-4.0
AVP-R-0018,train,mitre-engenuity,CVE-2022-35619,CWE-620,T1078,Noisy Decoy,1,8,9,8,CC-BY-4.0
AVP-R-0019,train,lmdg-synthetic,CVE-2023-35345,CWE-384,T1047;T1087;T1569.002,Tool Injection,3,6,7,6,CC-BY-4.0
AVP-R-0020,train,lmdg-synthetic,CVE-2022-34386,CWE-640,T1018;T1078.001,Role Confusion,4,8,9,8,CC-BY-4.0
AVP-R-0021,train,lanl,CVE-2022-12192,CWE-613,T1078,Noisy Decoy,2,4,5,4,CC-BY-4.0
AVP-R-0022,train,mitre-engenuity,CVE-2022-39318,CWE-521,T1047;T1569.002,Tool Injection,3,10,11,10,CC-BY-4.0
AVP-R-0023,train,lanl,CVE-2021-57265,CWE-384,T1078.001,Role Confusion,1,5,6,5,CC-BY-4.0
AVP-R-0024,train,lanl,CVE-2022-17946,CWE-640,T1078.001,Role Confusion,1,10,11,10,CC-BY-4.0
AVP-R-0025,train,lanl,CVE-2021-52744,CWE-798,T1078,Noisy Decoy,1,6,7,6,CC-BY-4.0
AVP-R-0026,train,lmdg-synthetic,CVE-2022-58224,CWE-798,T1059.001;T1078.001,Role Confusion,1,5,6,5,CC-BY-4.0
AVP-R-0027,train,lmdg-synthetic,CVE-2021-48634,CWE-798,T1029;T1049,Slow Exfiltration,2,7,8,7,CC-BY-4.0
AVP-R-0028,train,lmdg-synthetic,CVE-2022-46716,CWE-640,T1049;T1078,Noisy Decoy,2,4,5,4,CC-BY-4.0
AVP-R-0029,train,lanl,CVE-2023-57539,CWE-620,T1078.001,Role Confusion,3,7,8,7,CC-BY-4.0
AVP-R-0030,train,lanl,CVE-2023-17672,CWE-613,T1078.001,Role Confusion,2,10,11,10,CC-BY-4.0
AVP-R-0031,train,lanl,CVE-2021-56443,CWE-200,T1078.001,Role Confusion,3,9,10,9,CC-BY-4.0
AVP-R-0032,train,lanl,CVE-2021-46579,CWE-620,T1557.001,NTLM Relay,2,9,10,9,CC-BY-4.0
AVP-R-0033,train,lmdg-synthetic,CVE-2023-46031,CWE-307,T1021.006;T1557.001,NTLM Relay,1,7,8,7,CC-BY-4.0
AVP-R-0034,train,mitre-engenuity,CVE-2022-45483,CWE-200,T1029,Slow Exfiltration,3,10,11,10,CC-BY-4.0
AVP-R-0035,train,lanl,CVE-2023-66581,CWE-307,T1029,Slow Exfiltration,4,9,10,9,CC-BY-4.0
AVP-R-0036,train,mitre-engenuity,CVE-2023-56306,CWE-640,T1029,Slow Exfiltration,3,7,8,7,CC-BY-4.0
AVP-R-0037,train,lmdg-synthetic,CVE-2022-11781,CWE-307,T1087;T1557.001,NTLM Relay,1,6,7,6,CC-BY-4.0
AVP-R-0038,train,lanl,CVE-2023-14384,CWE-798,T1557.001,NTLM Relay,3,10,11,10,CC-BY-4.0
AVP-R-0039,train,lanl,CVE-2021-14110,CWE-287,T1557.001,NTLM Relay,1,8,9,8,CC-BY-4.0
AVP-R-0040,train,lanl,CVE-2021-33838,CWE-521,T1557.001,NTLM Relay,1,5,6,5,CC-BY-4.0
AVP-R-0041,train,mitre-engenuity,CVE-2023-42743,CWE-200,T1029,Slow Exfiltration,1,8,9,8,CC-BY-4.0
AVP-R-0042,train,lanl,CVE-2021-42058,CWE-521,T1029,Slow Exfiltration,3,7,8,7,CC-BY-4.0
AVP-R-0043,train,mitre-engenuity,CVE-2022-59046,CWE-640,T1078,Noisy Decoy,3,5,6,5,CC-BY-4.0
AVP-R-0044,train,lanl,CVE-2021-14521,CWE-307,T1047;T1569.002,Tool Injection,4,5,6,5,CC-BY-4.0
AVP-R-0045,train,mitre-engenuity,CVE-2021-36715,CWE-384,T1557.001,NTLM Relay,3,9,10,9,CC-BY-4.0
AVP-R-0046,train,lmdg-synthetic,CVE-2022-42195,CWE-384,T1087;T1557.001,NTLM Relay,1,8,9,8,CC-BY-4.0
AVP-R-0047,train,lanl,CVE-2023-36989,CWE-620,T1078,Noisy Decoy,2,10,11,10,CC-BY-4.0
